V,E,time
0,1,1.9073486328125e-06
1,0,2.86102294921875e-06
2,1,3.0994415283203125e-06
3,4,3.0994415283203125e-06
4,9,3.0994415283203125e-06
5,16,5.0067901611328125e-06
6,25,5.245208740234375e-06
7,36,5.9604644775390625e-06
8,49,8.106231689453125e-06
9,64,1.0013580322265625e-05
10,81,1.0967254638671875e-05
11,100,1.3828277587890625e-05
12,121,1.2874603271484375e-05
13,144,1.621246337890625e-05
14,169,1.8835067749023438e-05
15,196,2.09808349609375e-05
16,225,2.3126602172851562e-05
17,256,2.7179718017578125e-05
18,289,2.6941299438476562e-05
19,324,2.9802322387695312e-05
20,361,3.314018249511719e-05
21,400,3.504753112792969e-05
22,441,8.606910705566406e-05
23,484,4.38690185546875e-05
24,529,4.410743713378906e-05
25,576,5.1021575927734375e-05
26,625,5.1021575927734375e-05
27,676,5.698204040527344e-05
28,729,5.91278076171875e-05
29,784,6.508827209472656e-05
30,841,6.604194641113281e-05
31,900,7.104873657226562e-05
32,961,7.295608520507812e-05
33,1024,7.891654968261719e-05
34,1089,9.894371032714844e-05
35,1156,8.702278137207031e-05
36,1225,8.916854858398438e-05
37,1296,9.489059448242188e-05
38,1369,0.00010323524475097656
39,1444,9.703636169433594e-05
40,1521,0.00010704994201660156
41,1600,0.00010991096496582031
42,1681,0.00011706352233886719
43,1764,0.0001518726348876953
44,1849,0.00012803077697753906
45,1936,0.0001289844512939453
46,2025,0.0001399517059326172
47,2116,0.00014066696166992188
48,2209,0.0001461505889892578
49,2304,0.0001571178436279297
50,2401,0.0002231597900390625
51,2500,0.00016498565673828125
52,2601,0.00022602081298828125
53,2704,0.0001690387725830078
54,2809,0.00018596649169921875
55,2916,0.0001919269561767578
56,3025,0.00019311904907226562
57,3136,0.00019693374633789062
58,3249,0.00021505355834960938
59,3364,0.0002052783966064453
60,3481,0.0002219676971435547
61,3600,0.0002319812774658203
62,3721,0.0002338886260986328
63,3844,0.00023603439331054688
64,3969,0.0002512931823730469
65,4096,0.0002548694610595703
66,4225,0.0002551078796386719
67,4356,0.0002770423889160156
68,4489,0.00027298927307128906
69,4624,0.00028204917907714844
70,4761,0.0002818107604980469
71,4900,0.0002849102020263672
72,5041,0.0003218650817871094
73,5184,0.00031828880310058594
74,5329,0.00032520294189453125
75,5476,0.00031685829162597656
76,5625,0.0003287792205810547
77,5776,0.00036787986755371094
78,5929,0.00033211708068847656
79,6084,0.0003581047058105469
80,6241,0.00038814544677734375
81,6400,0.0003819465637207031
82,6561,0.00037980079650878906
83,6724,0.0004239082336425781
84,6889,0.00039505958557128906
85,7056,0.00041222572326660156
86,7225,0.0004608631134033203
87,7396,0.00047016143798828125
88,7569,0.0004379749298095703
89,7744,0.00045800209045410156
90,7921,0.0004978179931640625
91,8100,0.00047206878662109375
92,8281,0.0005087852478027344
93,8464,0.0004971027374267578
94,8649,0.00048422813415527344
95,8836,0.0005660057067871094
96,9025,0.0005319118499755859
97,9216,0.0005698204040527344
98,9409,0.0005717277526855469
99,9604,0.0005419254302978516
100,9801,0.0006029605865478516
